Date,EFA
2002-11-08,17.165090560913086
2002-11-11,16.82929229736328
2002-11-12,17.13951873779297
2002-11-13,16.94349479675293
2002-11-14,17.32191276550293
2002-11-15,17.58270835876465
2002-11-18,17.361114501953125
2002-11-19,17.199180603027344
2002-11-20,17.43781852722168
2002-11-21,17.86396598815918
2002-11-22,17.77873992919922
2002-11-25,17.640666961669922
2002-11-26,17.228160858154297
2002-11-27,17.705442428588867
2002-11-29,17.795785903930664
2002-12-02,17.88442039489746
2002-12-03,17.56736946105957
2002-12-04,17.487255096435547
2002-12-05,17.291231155395508
2002-12-06,17.412260055541992
2002-12-09,16.965654373168945
2002-12-10,17.195770263671875
2002-12-11,17.173612594604492
2002-12-12,17.13951873779297
2002-12-13,16.977588653564453
2002-12-16,17.344070434570312
2002-12-17,17.25713348388672
2002-12-18,16.892358779907227
2002-12-19,16.98611068725586
2002-12-20,17.08838653564453
2002-12-23,17.1200008392334
2002-12-24,17.08873176574707
2002-12-26,17.14605712890625
2002-12-27,16.876792907714844
2002-12-30,17.128686904907227
2002-12-31,17.199913024902344
2003-01-02,17.562986373901367
2003-01-03,17.580354690551758
2003-01-06,17.79750633239746
2003-01-07,17.519554138183594
2003-01-08,17.28156089782715
2003-01-09,17.49349594116211
2003-01-10,17.47090721130371
2003-01-13,17.507396697998047
2003-01-14,17.641157150268555
2003-01-15,17.4726505279541
2003-01-16,17.545616149902344
2003-01-17,17.361469268798828
2003-01-21,17.055728912353516
2003-01-22,16.815994262695312
2003-01-23,16.934120178222656
2003-01-24,16.75519371032715
2003-01-27,16.30873680114746
2003-01-28,16.378217697143555
2003-01-29,16.33827018737793
2003-01-30,16.327842712402344
2003-01-31,16.459871292114258
2003-02-03,16.718708038330078
2003-02-04,16.47723960876465
2003-02-05,16.50503921508789
2003-02-06,16.345216751098633
2003-02-07,16.108951568603516
2003-02-10,16.164546966552734
2003-02-11,16.242721557617188
2003-02-12,16.07073974609375
2003-02-13,16.306995391845703
2003-02-14,16.461599349975586
2003-02-18,16.703075408935547
2003-02-19,16.312210083007812
2003-02-20,16.32957649230957
2003-02-21,16.43381690979004
2003-02-24,16.234033584594727
2003-02-25,16.034259796142578
2003-02-26,15.843167304992676
2003-02-27,15.865742683410645
2003-02-28,16.1124324798584
2003-03-03,16.181915283203125
2003-03-04,15.947404861450195
2003-03-05,15.973459243774414
2003-03-06,15.791047096252441
2003-03-07,15.676396369934082
2003-03-10,15.242104530334473
2003-03-11,15.191722869873047
2003-03-12,15.016263961791992
2003-03-13,15.445356369018555
2003-03-14,15.521782875061035
2003-03-17,15.959558486938477
2003-03-18,16.027311325073242
2003-03-19,16.1124324798584
2003-03-20,16.21492576599121
2003-03-21,16.60753059387207
2003-03-24,16.069002151489258
2003-03-25,16.247934341430664
2003-03-26,16.256616592407227
2003-03-27,16.147178649902344
2003-03-28,16.042940139770508
2003-03-31,15.738934516906738
2003-04-01,15.98388385772705
2003-04-02,16.247934341430664
2003-04-03,16.1575984954834
2003-04-04,16.3747501373291
2003-04-07,16.586681365966797
2003-04-08,16.590158462524414
2003-04-09,16.527624130249023
2003-04-10,16.442493438720703
2003-04-11,16.34868812561035
2003-04-14,16.597110748291016
2003-04-15,16.824682235717773
2003-04-16,16.7134952545166
2003-04-17,16.954967498779297
2003-04-21,16.895904541015625
2003-04-22,17.140844345092773
2003-04-23,17.291982650756836
2003-04-24,17.15648078918457
2003-04-25,16.852476119995117
2003-04-28,17.151273727416992
2003-04-29,17.250289916992188
2003-04-30,17.338890075683594
2003-05-01,17.41011619567871
2003-05-02,17.561246871948242
2003-05-05,17.695011138916016
2003-05-06,18.068500518798828
2003-05-07,17.9017333984375
2003-05-08,17.632471084594727
2003-05-09,17.854833602905273
2003-05-12,17.997282028198242
2003-05-13,17.99554443359375
2003-05-14,18.00075912475586
2003-05-15,18.032024383544922
2003-05-16,18.254383087158203
2003-05-19,17.76102066040039
2003-05-20,17.938217163085938
2003-05-21,17.75234031677246
2003-05-22,17.990337371826172
2003-05-23,18.09282875061035
2003-05-27,18.24917221069336
2003-05-28,18.336030960083008
2003-05-29,18.422893524169922
2003-05-30,18.457639694213867
2003-06-02,18.629623413085938
2003-06-03,18.67478370666504
2003-06-04,18.787696838378906
2003-06-05,18.977060317993164
2003-06-06,19.091705322265625
2003-06-09,18.954471588134766
2003-06-10,19.10734748840332
2003-06-11,19.42177963256836
2003-06-12,19.47389030456543
2003-06-13,19.36097526550293
2003-06-16,19.644142150878906
2003-06-17,19.684093475341797
2003-06-18,19.628503799438477
2003-06-19,19.395715713500977
2003-06-20,19.42177963256836
2003-06-23,19.206363677978516
2003-06-24,19.055227279663086
2003-06-25,18.865875244140625
2003-06-26,18.952739715576172
2003-06-27,18.810287475585938
2003-06-30,18.81549644470215
2003-07-01,18.926673889160156
2003-07-02,19.3001766204834
2003-07-03,19.19594383239746
